DNA	RNA	Prefix
DB232	DB240	01
DB233	DB241	02
DB234	DB242	03
DB235	DB243	04
DB236	DB244	05
DB237	DB245	06
DB238	DB246	07
DB239	DB247	08
DB248	DB280	09
DB249	DB281	10
DB250	DB282	11
DB251	DB283	12
DB252	DB284	13
DB253	DB285	14
DB254	DB286	15
DB255	DB287	16
DB256	DB288	17
DB257	DB289	18
DB258	DB290	19
DB259	DB291	20
DB260	DB292	21
DB261	DB293	22
DB262	DB294	23
DB263	DB295	24
DB264	DB296	25
DB265	DB297	26
DB266	DB298	27
DB267	DB299	28
DB268	DB300	29
DB269	DB301	30
DB270	DB302	31
DB271	DB303	32
DB273	DB305	33
DB274	DB306	34
DB275	DB307	35
DB276	DB308	36
DB277	DB309	37
DB278	DB310	38
DB279	DB311	39
